127.0.0.1, 2018-05-13 19:21:49, GET, /start/default/index, HTTP/1.1, 200, 0.046594
127.0.0.1, 2018-05-13 19:21:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2018-05-13 19:21:49, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.073697
127.0.0.1, 2018-05-13 19:21:49, GET, /start/api/get_memos, HTTP/1.1, 200, 0.097133
127.0.0.1, 2018-05-13 19:22:13, GET, /start/default/user, HTTP/1.1, 303, 0.043468
127.0.0.1, 2018-05-13 19:22:13, GET, /start/default/user/login, HTTP/1.1, 200, 0.041821
127.0.0.1, 2018-05-13 19:22:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2018-05-13 19:22:16, GET, /start/default/user/request_reset_password, HTTP/1.1, 200, 0.072675
127.0.0.1, 2018-05-13 19:22:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2018-05-13 19:22:17, GET, /start/default/user/login, HTTP/1.1, 200, 0.054084
127.0.0.1, 2018-05-13 19:22:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2018-05-13 19:22:19, GET, /start/default/index, HTTP/1.1, 200, 0.047752
127.0.0.1, 2018-05-13 19:22:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2018-05-13 19:22:20, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.070944
127.0.0.1, 2018-05-13 19:22:20, GET, /start/api/get_memos, HTTP/1.1, 200, 0.097306
127.0.0.1, 2018-05-13 19:22:36, GET, /start/default/index, HTTP/1.1, 200, 0.038049
127.0.0.1, 2018-05-13 19:22:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2018-05-13 19:22:37, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.064426
127.0.0.1, 2018-05-13 19:22:37, GET, /start/api/get_memos, HTTP/1.1, 200, 0.089975
127.0.0.1, 2018-05-13 19:22:44, GET, /start/default/index, HTTP/1.1, 200, 0.039303
127.0.0.1, 2018-05-13 19:22:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2018-05-13 19:22:45, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.066652
127.0.0.1, 2018-05-13 19:22:45, GET, /start/api/get_memos, HTTP/1.1, 200, 0.090660
127.0.0.1, 2018-05-13 19:23:20, GET, /start/default/index, HTTP/1.1, 200, 0.047010
127.0.0.1, 2018-05-13 19:23:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2018-05-13 19:23:21, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.083905
127.0.0.1, 2018-05-13 19:23:21, GET, /start/api/get_memos, HTTP/1.1, 200, 0.104758
127.0.0.1, 2018-05-17 13:29:01, GET, /, HTTP/1.1, 303, 0.004445
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.122859
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002669
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000716
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003515
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001285
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002966
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002620
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000548
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001152
127.0.0.1, 2018-05-17 13:29:01, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000541
127.0.0.1, 2018-05-17 13:29:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002287
127.0.0.1, 2018-05-17 13:29:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000657
127.0.0.1, 2018-05-17 13:29:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001766
127.0.0.1, 2018-05-17 13:29:13, GET, /start/default/index, HTTP/1.1, 200, 0.116255
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000833
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001314
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000380
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000538
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000414
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000464
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000487
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000326
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.000530
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.000319
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.003886
127.0.0.1, 2018-05-17 13:29:13, GET, /start/default/index, HTTP/1.1, 200, 0.059518
127.0.0.1, 2018-05-17 13:29:13, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2018-05-17 13:29:14, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000517
127.0.0.1, 2018-05-17 13:29:14, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.063261
127.0.0.1, 2018-05-17 13:29:14, GET, /start/api/get_memos, HTTP/1.1, 200, 0.091406
127.0.0.1, 2018-05-17 13:29:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2018-05-17 13:30:45, GET, /start/default/index, HTTP/1.1, 200, 0.039039
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000331
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000544
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001116
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.003548
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001299
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000410
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000723
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.000353
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.000314
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000502
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000724
127.0.0.1, 2018-05-17 13:30:45, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000449
127.0.0.1, 2018-05-17 13:30:46, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000285
127.0.0.1, 2018-05-17 13:30:46, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.054464
127.0.0.1, 2018-05-17 13:30:46, GET, /start/api/get_memos, HTTP/1.1, 200, 0.077283
127.0.0.1, 2018-05-17 13:30:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2018-05-17 13:30:54, GET, /start/default/index, HTTP/1.1, 200, 0.041451
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000488
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000458
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000735
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000416
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000445
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000539
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001209
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000540
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.001179
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.001243
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000934
127.0.0.1, 2018-05-17 13:30:54, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.002672
127.0.0.1, 2018-05-17 13:30:55, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000339
127.0.0.1, 2018-05-17 13:30:55, GET, /start/api/get_memos, HTTP/1.1, 200, 0.072007
127.0.0.1, 2018-05-17 13:30:55, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.102076
127.0.0.1, 2018-05-17 13:30:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2018-05-17 13:31:08, GET, /start/default/index, HTTP/1.1, 200, 0.041882
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000528
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000481
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000493
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000420
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000608
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000410
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000726
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001123
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.000412
127.0.0.1, 2018-05-17 13:31:08, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.000561
